# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Robot Groundtruth Data Fomat:
# Time [s]    x [m]    y [m]    orientation [rad] 
1248297556.136   1.29812900 	 1.88315210 	 2.82870000  
1248297556.173   1.29818160 	 1.88321260 	 2.82880000  
1248297556.202   1.29816760 	 1.88321130 	 2.82880000  
1248297556.222   1.29809340 	 1.88319540 	 2.82850000  
1248297556.224   1.29806680 	 1.88319110 	 2.82840000  
1248297556.249   1.29805120 	 1.88318280 	 2.82840000  
1248297556.277   1.29808280 	 1.88313430 	 2.82830000  
1248297556.305   1.29809820 	 1.88313340 	 2.82830000  
1248297556.333   1.29813780 	 1.88314530 	 2.82860000  
1248297556.335   1.29813960 	 1.88315460 	 2.82860000  
1248297556.381   1.29812990 	 1.88318400 	 2.82870000  
1248297556.385   1.29813520 	 1.88318380 	 2.82870000  
1248297556.425   1.29812080 	 1.88318730 	 2.82860000  
1248297556.450   1.29810470 	 1.88318560 	 2.82850000  
1248297556.482   1.29799890 	 1.88315430 	 2.82890000  
1248297556.484   1.29793290 	 1.88317110 	 2.82970000  
1248297556.540   1.29728040 	 1.88339160 	 2.83730000  
1248297556.576   1.29514310 	 1.88409810 	 2.85380000  
1248297556.625   1.29271320 	 1.88504090 	 2.86870000  
1248297556.653   1.29236330 	 1.88519400 	 2.87100000  
1248297556.680   1.29127960 	 1.88554850 	 2.87780000  
1248297556.682   1.29102390 	 1.88555860 	 2.87930000  
1248297556.730   1.28963120 	 1.88556540 	 2.88680000  
1248297556.787   1.28724020 	 1.88645340 	 2.90250000  
1248297556.801   1.28674950 	 1.88677250 	 2.90630000  
1248297556.835   1.28438770 	 1.88805610 	 2.92070000  
1248297556.865   1.28392260 	 1.88815070 	 2.92240000  
1248297556.894   1.28198610 	 1.88807150 	 2.92750000  
1248297556.947   1.27816260 	 1.88864240 	 2.94020000  
1248297556.978   1.27744290 	 1.88889690 	 2.94310000  
1248297556.998   1.27325530 	 1.89010510 	 2.95760000  
1248297557.028   1.27231020 	 1.89025380 	 2.96030000  
1248297557.066   1.26766660 	 1.89069540 	 2.97060000  
1248297557.073   1.26691920 	 1.89075220 	 2.97240000  
1248297557.128   1.26446850 	 1.89106690 	 2.98200000  
1248297557.182   1.26208630 	 1.89164160 	 2.99900000  
1248297557.212   1.26156070 	 1.89171860 	 3.00230000  
1248297557.242   1.25832910 	 1.89170880 	 3.01450000  
1248297557.263   1.25760770 	 1.89168730 	 3.01620000  
1248297557.302   1.25376500 	 1.89204610 	 3.02400000  
1248297557.327   1.25299810 	 1.89220700 	 3.02520000  
